,Time,Transaction,Value,Amount
1116,4.688,bid,44,3
1117,4.688,ask,209,4
1118,4.688,ask,222,2
1119,4.688,ask,651,5
1120,4.704,bid,199,3
1121,4.704,bid,196,3
1122,4.704,bid,187,4
1123,4.704,bid,175,5
1124,4.704,bid,44,3
1125,4.704,ask,209,4
1126,4.704,ask,222,2
1127,4.704,ask,651,5
1128,4.72,bid,199,3
1129,4.72,bid,196,3
1130,4.72,bid,187,4
1131,4.72,bid,175,5
1132,4.72,bid,44,3
1133,4.72,ask,209,4
1134,4.72,ask,222,2
1135,4.72,ask,651,5
1136,4.736,bid,199,3
1137,4.736,bid,196,3
1138,4.736,bid,187,4
1139,4.736,bid,175,5
1140,4.736,bid,44,3
1141,4.736,ask,209,4
1142,4.736,ask,222,2
1143,4.736,ask,651,5
1144,4.752,bid,199,3
1145,4.752,bid,196,3
1146,4.752,bid,187,4
1147,4.752,bid,175,5
1148,4.752,bid,44,3
1149,4.752,ask,209,4
1150,4.752,ask,222,2
1151,4.752,ask,651,5
1152,4.768,bid,199,3
1153,4.768,bid,196,3
1154,4.768,bid,187,4
1155,4.768,bid,175,5
1156,4.768,bid,44,3
1157,4.768,ask,209,4
1158,4.768,ask,222,2
1159,4.768,ask,651,5
1160,4.784,bid,199,3
1161,4.784,bid,196,3
1162,4.784,bid,187,4
1163,4.784,bid,175,5
1164,4.784,bid,44,3
1165,4.784,ask,209,4
1166,4.784,ask,222,2
1167,4.784,ask,651,5
1168,4.8,bid,199,3
1169,4.8,bid,196,3
1170,4.8,bid,187,4
1171,4.8,bid,175,5
1172,4.8,bid,44,3
1173,4.8,ask,209,4
1174,4.8,ask,222,2
1175,4.8,ask,651,5
1176,4.816,bid,199,3
1177,4.816,bid,196,3
1178,4.816,bid,187,4
1179,4.816,bid,175,5
1180,4.816,bid,44,3
1181,4.816,ask,209,4
1182,4.816,ask,222,2
1183,4.816,ask,651,5
1184,4.832,bid,199,3
1185,4.832,bid,196,3
1186,4.832,bid,187,4
1187,4.832,bid,175,5
1188,4.832,bid,44,3
1189,4.832,ask,209,4
1190,4.832,ask,222,2
1191,4.832,ask,651,5
1192,4.848,bid,199,3
1193,4.848,bid,196,3
1194,4.848,bid,187,4
1195,4.848,bid,175,5
1196,4.848,bid,44,3
1197,4.848,ask,209,4
1198,4.848,ask,222,2
1199,4.848,ask,651,5
1200,4.864,bid,199,3
1201,4.864,bid,196,3
1202,4.864,bid,187,4
1203,4.864,bid,175,5
1204,4.864,bid,153,3
1205,4.864,ask,209,4
1206,4.864,ask,222,2
1207,4.864,ask,651,5
1208,4.88,bid,199,3
1209,4.88,bid,196,3
1210,4.88,bid,187,4
1211,4.88,bid,175,5
1212,4.88,bid,153,3
1213,4.88,ask,209,4
1214,4.88,ask,222,2
1215,4.88,ask,651,5
1216,4.896,bid,199,3
1217,4.896,bid,196,3
1218,4.896,bid,187,4
1219,4.896,bid,175,5
1220,4.896,bid,153,3
1221,4.896,ask,209,4
1222,4.896,ask,222,2
1223,4.896,ask,651,5
1224,4.912,bid,199,3
1225,4.912,bid,196,3
1226,4.912,bid,187,4
1227,4.912,bid,175,5
1228,4.912,bid,153,3
1229,4.912,ask,209,4
1230,4.912,ask,222,2
1231,4.912,ask,651,5
1232,4.928,bid,199,3
1233,4.928,bid,196,3
1234,4.928,bid,187,4
1235,4.928,bid,175,5
1236,4.928,bid,153,3
1237,4.928,ask,209,4
1238,4.928,ask,222,2
1239,4.928,ask,651,5
1240,4.944,bid,199,3
1241,4.944,bid,196,3
1242,4.944,bid,187,4
1243,4.944,bid,175,5
1244,4.944,bid,153,3
1245,4.944,ask,209,4
1246,4.944,ask,222,2
1247,4.944,ask,651,5
1248,4.96,bid,199,3
1249,4.96,bid,196,3
1250,4.96,bid,187,4
1251,4.96,bid,175,5
1252,4.96,bid,153,3
1253,4.96,ask,209,4
1254,4.96,ask,222,2
1255,4.96,ask,651,5
1256,4.976,bid,199,3
1257,4.976,bid,196,3
1258,4.976,bid,187,4
1259,4.976,bid,175,5
1260,4.976,bid,153,3
1261,4.976,ask,209,4
1262,4.976,ask,222,2
1263,4.976,ask,651,5
1264,4.992,bid,199,3
1265,4.992,bid,196,3
1266,4.992,bid,187,4
1267,4.992,bid,175,5
1268,4.992,bid,153,3
1269,4.992,ask,209,4
1270,4.992,ask,222,2
1271,4.992,ask,651,5
1272,5.008,bid,199,6
1273,5.008,bid,187,4
1274,5.008,bid,175,5
1275,5.008,bid,153,3
1276,5.008,ask,209,4
1277,5.008,ask,222,2
1278,5.008,ask,651,5
1279,5.024,bid,199,6
1280,5.024,bid,187,4
1281,5.024,bid,175,5
1282,5.024,bid,153,3
1283,5.024,ask,209,4
1284,5.024,ask,222,2
1285,5.024,ask,651,5
1286,5.04,bid,199,6
1287,5.04,bid,187,4
1288,5.04,bid,175,5
1289,5.04,bid,153,3
1290,5.04,ask,209,4
1291,5.04,ask,222,2
1292,5.04,ask,651,5
1293,5.056,bid,199,6
1294,5.056,bid,187,4
1295,5.056,bid,175,5
1296,5.056,bid,153,3
1297,5.056,ask,209,4
1298,5.056,ask,222,2
1299,5.056,ask,651,5
1300,5.072,bid,201,3
1301,5.072,bid,199,3
1302,5.072,bid,187,4
1303,5.072,bid,175,5
1304,5.072,bid,153,3
1305,5.072,ask,209,4
1306,5.072,ask,222,2
1307,5.072,ask,651,5
1308,5.088,bid,201,3
1309,5.088,bid,199,3
1310,5.088,bid,187,4
1311,5.088,bid,175,5
1312,5.088,bid,153,3
1313,5.088,ask,209,4
1314,5.088,ask,222,2
1315,5.088,ask,651,5
1316,5.104,bid,201,3
1317,5.104,bid,199,3
1318,5.104,bid,187,4
1319,5.104,bid,175,5
1320,5.104,bid,153,3
1321,5.104,ask,209,4
1322,5.104,ask,222,2
1323,5.104,ask,651,5
1324,5.12,bid,201,3
1325,5.12,bid,199,3
1326,5.12,bid,187,4
1327,5.12,bid,175,5
1328,5.12,bid,153,3
1329,5.12,ask,209,4
1330,5.12,ask,222,2
1331,5.12,ask,651,5
1332,5.136,bid,201,3
1333,5.136,bid,199,3
1334,5.136,bid,187,4
1335,5.136,bid,175,5
1336,5.136,bid,153,3
1337,5.136,ask,209,4
1338,5.136,ask,222,2
1339,5.136,ask,651,5
1340,5.152,bid,201,3
1341,5.152,bid,199,3
1342,5.152,bid,187,4
1343,5.152,bid,175,5
1344,5.152,bid,153,3
1345,5.152,ask,209,4
1346,5.152,ask,222,2
1347,5.152,ask,651,5
1348,5.168,bid,201,3
1349,5.168,bid,199,3
1350,5.168,bid,187,4
1351,5.168,bid,175,5
1352,5.168,bid,153,3
1353,5.168,ask,209,4
1354,5.168,ask,222,2
1355,5.168,ask,651,5
1356,5.184,bid,201,3
1357,5.184,bid,199,3
1358,5.184,bid,187,4
1359,5.184,bid,175,5
1360,5.184,bid,153,3
1361,5.184,ask,209,4
1362,5.184,ask,222,2
1363,5.184,ask,651,5
1364,5.2,bid,201,3
1365,5.2,bid,199,3
1366,5.2,bid,187,4
1367,5.2,bid,175,5
1368,5.2,bid,153,3
1369,5.2,ask,209,4
1370,5.2,ask,222,2
1371,5.2,ask,651,5
