Date,Open,High,Low,Close,Volume
04/01/2022,253,275,229,241,63484
05/01/2022,251,260,229,246,63584
06/01/2022,242,307,236,283,61091
07/01/2022,286,310,257,263,59114
10/01/2022,262,278,238,242,59570
11/01/2022,256,257,206,210,64530
12/01/2022,220,231,189,199,67028
13/01/2022,192,222,183,212,74275
14/01/2022,208,222,193,208,83477
17/01/2022,207,235,198,213,66919
18/01/2022,227,228,196,214,76440
19/01/2022,200,219,178,190,75605
20/01/2022,192,219,179,209,79948
21/01/2022,213,216,187,200,76829
24/01/2022,202,209,183,201,68762
25/01/2022,209,267,191,253,70331
26/01/2022,246,270,219,231,64563
27/01/2022,239,239,186,193,70871
28/01/2022,197,207,171,180,84520
31/01/2022,180,199,169,179,94061
01/02/2022,186,188,159,171,92004
02/02/2022,162,180,153,157,96375
03/02/2022,159,185,153,175,90477
04/02/2022,175,187,158,167,95094
07/02/2022,167,187,157,178,92471
08/02/2022,184,220,167,211,83682
09/02/2022,219,228,192,205,80884
10/02/2022,210,216,169,182,83019
11/02/2022,181,190,163,187,86568
14/02/2022,184,191,157,170,94986
15/02/2022,177,179,139,154,95551
16/02/2022,141,168,138,163,96470
17/02/2022,155,183,145,175,94140
18/02/2022,163,186,154,168,95785
21/02/2022,170,179,153,169,96309
22/02/2022,161,199,155,188,82207
23/02/2022,185,207,178,186,74751
24/02/2022,195,200,157,171,81210
25/02/2022,164,186,155,176,95131
28/02/2022,173,189,161,177,93159
01/03/2022,167,186,144,154,96019
02/03/2022,163,163,133,146,98740
03/03/2022,152,175,135,169,93350
04/03/2022,161,178,143,158,96582
07/03/2022,149,166,138,146,96310
08/03/2022,145,161,134,153,97804
09/03/2022,150,162,132,150,97782
10/03/2022,147,153,123,138,97472
11/03/2022,126,148,122,142,97236
14/03/2022,141,148,125,138,97882
15/03/2022,146,159,127,148,97300
16/03/2022,139,159,128,145,98437
17/03/2022,144,149,122,131,98435
18/03/2022,137,143,120,131,96989
21/03/2022,121,142,118,128,96905
22/03/2022,134,138,113,119,98621
23/03/2022,114,133,110,128,98394
24/03/2022,126,139,112,133,98705
25/03/2022,131,139,116,124,97468
28/03/2022,122,137,112,127,98511
29/03/2022,116,148,113,145,98221
30/03/2022,135,147,122,135,97378
31/03/2022,137,144,117,131,98043
01/04/2022,123,138,114,130,96735
04/04/2022,119,135,111,120,98063
05/04/2022,119,132,106,119,98778
06/04/2022,106,127,105,120,98050
07/04/2022,112,130,105,122,98071
08/04/2022,109,128,106,119,97396
11/04/2022,114,129,106,109,97372
12/04/2022,117,136,110,133,98446
13/04/2022,127,137,114,130,98070
14/04/2022,116,135,111,125,98124
19/04/2022,126,132,107,120,98972
20/04/2022,131,136,113,126,98570
21/04/2022,133,135,112,126,97252
22/04/2022,124,133,112,127,98552
25/04/2022,130,132,109,113,97420
26/04/2022,126,129,105,121,98276
27/04/2022,118,127,104,115,97274
28/04/2022,122,126,104,121,98278
29/04/2022,116,126,104,118,97476
